#,SKU Code,SKU Name (original),Folder Name,Brand,Manufacturer,Pack,MRP,Image Count
29,9e6af9b8-3a2e-4694-a9ba-c5d3fac258e2,"Priya Delite Ginger Garlic Paste, 500 Gm","Priya Delite Ginger Garlic Paste, 500 Gm",Priya,Ushodaya Enterprises Private Limited,500 Gram,100,0
30,62bf3da4-a857-45bf-8405-f9bfe26b59b4,"Priya Coriander Powder, 15 Gm","Priya Coriander Powder, 15 Gm",Priya,Ushodaya Enterprises Private Limited,15 Gram,5,0
31,0157bf82-6054-4081-9dcc-af02a731b169,"Priya Coriander Powder, 100 Gm","Priya Coriander Powder, 100 Gm",Priya,Ushodaya Enterprises Private Limited,100 Gram,35,0
32,99e6045f-27cb-4bcf-b2cc-eaf46e844525,"Priya Coriander Powder, 500 Gm","Priya Coriander Powder, 500 Gm",Priya,Ushodaya Enterprises Private Limited,500 Gram,150,0
33,c95fd8aa-c6c8-4293-babf-f7a58c67433d,"Priya Egg Masala, 8 Gm","Priya Egg Masala, 8 Gm",Priya,Ushodaya Enterprises Private Limited,8 Gram,5,0
34,e9942333-d2e0-410e-bd13-3562e2177350,"Priya Fish - Fry Masala, 8 Gm","Priya Fish - Fry Masala, 8 Gm",Priya,Ushodaya Enterprises Private Limited,8 Gram,5,0
35,18dfffeb-f94f-4042-83e8-b6cb58ff19d1,"Priya Catla Fish Masala, 8 Gm","Priya Catla Fish Masala, 8 Gm",Priya,Ushodaya Enterprises Private Limited,8 Gram,5,0
36,7c92e5f2-7685-4e72-91dd-42f048e88dd1,"Priya Garam Masala, 8 Gm","Priya Garam Masala, 8 Gm",Priya,Ushodaya Enterprises Private Limited,8 Gram,5,0
37,fed8eede-bb7a-40fb-ac27-712594944adf,"Priya Garlic Pickle (Lahsun Ka Aachar), 300 Gm","Priya Garlic Pickle (Lahsun Ka Aachar), 300 Gm",Priya,Ushodaya Enterprises Private Limited,300 Gram,103,0
38,c3e34e7f-048c-469a-b279-2afb22c10850,"Priya Ginger Garlic Paste, 300 Gm","Priya Ginger Garlic Paste, 300 Gm",Priya,Ushodaya Enterprises Private Limited,300 Gram,85,0
39,e7dd12da-1ff9-46af-99c2-a85de989970a,"Priya Ginger Garlic Paste, 200 Gm","Priya Ginger Garlic Paste, 200 Gm",Priya,Ushodaya Enterprises Private Limited,200 Gram,62,0
40,703d6b8d-0d44-4bd2-a7a9-0795425024a1,"Priya Ginger Garlic Paste , 100 Gm","Priya Ginger Garlic Paste , 100 Gm",Priya,Ushodaya Enterprises Private Limited,100 Gram,35,0
41,a1b04562-fc74-467a-a204-4ce155da1940,"Priya Ginger Garlic Paste, 30 Gm","Priya Ginger Garlic Paste, 30 Gm",Priya,Ushodaya Enterprises Private Limited,30 Gram,10,0
